t,x,y,psi,u,v,r,tau_u,tau_r,tau_v,T1,T2,jerk_x,jerk_y
0.000000,0.000000,0.000000,0.000000,0.100000,0.000000,-0.000509,3.676759,-0.004536,0.000078,1.829656,1.847103,0.038510,-0.003066
0.033333,0.003334,-0.000000,-0.000017,0.100021,-0.000000,-0.001013,3.704553,-0.156854,-0.002146,1.550634,2.153919,0.038193,-0.003030
0.066667,0.006669,-0.000000,-0.000068,0.100085,-0.000000,-0.002013,3.733685,-0.212835,-0.004264,1.457544,2.276141,0.037876,-0.002993
0.100000,0.010006,-0.000001,-0.000151,0.100191,0.000000,-0.002997,3.764141,-0.217997,-0.006351,1.462845,2.301296,0.037560,-0.002957
0.133333,0.013348,-0.000001,-0.000267,0.100339,0.000000,-0.003960,3.795911,-0.222542,-0.008404,1.469991,2.325920,0.037245,-0.002920
0.166667,0.016696,-0.000002,-0.000415,0.100528,0.000000,-0.004902,3.828981,-0.226476,-0.010421,1.478960,2.350022,0.036931,-0.002884
0.200000,0.020051,-0.000004,-0.000594,0.100758,0.000000,-0.005821,3.863341,-0.229811,-0.012401,1.489727,2.373614,0.036618,-0.002848
0.233333,0.023414,-0.000006,-0.000803,0.101028,0.000000,-0.006713,3.898977,-0.232558,-0.014340,1.502262,2.396715,0.036306,-0.002812
0.266667,0.026786,-0.000009,-0.001042,0.101339,-0.000000,-0.007579,3.935879,-0.234734,-0.016238,1.516528,2.419351,0.035995,-0.002776
0.300000,0.030170,-0.000013,-0.001308,0.101690,0.000000,-0.008415,3.974035,-0.236357,-0.018091,1.532485,2.441550,0.035684,-0.002740
0.333333,0.033566,-0.000018,-0.001603,0.102081,0.000000,-0.009221,4.013431,-0.237448,-0.019899,1.550086,2.463346,0.035375,-0.002705
0.366667,0.036976,-0.000024,-0.001923,0.102511,0.000000,-0.009995,4.054058,-0.238028,-0.021661,1.569283,2.484775,0.035066,-0.002669
0.400000,0.040401,-0.000032,-0.002269,0.102980,-0.000000,-0.010737,4.095902,-0.238122,-0.023374,1.590024,2.505878,0.034759,-0.002634
0.433333,0.043842,-0.000040,-0.002639,0.103488,-0.000000,-0.011445,4.138953,-0.237755,-0.025037,1.612254,2.526698,0.034452,-0.002598
0.466667,0.047300,-0.000050,-0.003032,0.104034,0.000000,-0.012118,4.183198,-0.236954,-0.026650,1.635918,2.547279,0.034146,-0.002563
0.500000,0.050778,-0.000061,-0.003447,0.104618,0.000000,-0.012757,4.228625,-0.235744,-0.028212,1.660958,2.567667,0.033841,-0.002528
0.533333,0.054275,-0.000074,-0.003882,0.105239,0.000000,-0.013360,4.275224,-0.234155,-0.029721,1.687314,2.587910,0.033537,-0.002493
0.566667,0.057794,-0.000088,-0.004338,0.105898,0.000000,-0.013928,4.322982,-0.232213,-0.031177,1.714928,2.608054,0.033234,-0.002458
0.600000,0.061335,-0.000105,-0.004811,0.106594,0.000000,-0.014460,4.371888,-0.229946,-0.032580,1.743741,2.628147,0.032932,-0.002423
0.633333,0.064901,-0.000123,-0.005302,0.107326,0.000000,-0.014956,4.421930,-0.227381,-0.033930,1.773694,2.648237,0.032631,-0.002388
0.666667,0.068491,-0.000142,-0.005808,0.108095,0.000000,-0.015417,4.473097,-0.224546,-0.035225,1.804729,2.668368,0.032331,-0.002353
0.700000,0.072107,-0.000164,-0.006329,0.108900,0.000000,-0.015843,4.525377,-0.221468,-0.036467,1.836789,2.688588,0.032031,-0.002319
0.733333,0.075751,-0.000188,-0.006864,0.109740,0.000000,-0.016234,4.578758,-0.218171,-0.037655,1.869819,2.708939,0.031733,-0.002284
0.766667,0.079423,-0.000215,-0.007412,0.110616,0.000000,-0.016591,4.633230,-0.214681,-0.038789,1.903767,2.729463,0.031435,-0.002250
0.800000,0.083126,-0.000243,-0.007970,0.111527,0.000000,-0.016914,4.688779,-0.211022,-0.039869,1.938579,2.750201,0.031139,-0.002215
0.833333,0.086859,-0.000274,-0.008539,0.112472,0.000000,-0.017204,4.745397,-0.207216,-0.040896,1.974206,2.771191,0.030843,-0.002181
0.866667,0.090624,-0.000307,-0.009117,0.113451,0.000000,-0.017462,4.803069,-0.203286,-0.041871,2.010601,2.792468,0.030548,-0.002147
0.900000,0.094422,-0.000343,-0.009703,0.114465,0.000000,-0.017689,4.861786,-0.199251,-0.042793,2.047719,2.814068,0.030255,-0.002113
0.933333,0.098255,-0.000381,-0.010297,0.115512,0.000000,-0.017885,4.921536,-0.195131,-0.043663,2.085516,2.836020,0.029962,-0.002079
0.966667,0.102123,-0.000422,-0.010896,0.116593,0.000000,-0.018052,4.982308,-0.190944,-0.044482,2.123953,2.858355,0.029669,-0.002045
1.000000,0.106028,-0.000466,-0.011500,0.117707,0.000000,-0.018191,5.044090,-0.186708,-0.045252,2.162992,2.881098,0.029378,-0.002012
1.033333,0.109970,-0.000513,-0.012108,0.118853,0.000000,-0.018302,5.106871,-0.182436,-0.045971,2.202597,2.904274,0.029088,-0.001978
1.066667,0.113951,-0.000562,-0.012720,0.120032,0.000000,-0.018387,5.170640,-0.178144,-0.046642,2.242735,2.927905,0.028799,-0.001945
1.100000,0.117972,-0.000614,-0.013334,0.121243,0.000000,-0.018447,5.235385,-0.173845,-0.047266,2.283375,2.952010,0.028510,-0.001911
1.133333,0.122033,-0.000670,-0.013950,0.122485,0.000000,-0.018483,5.301096,-0.169551,-0.047843,2.324489,2.976607,0.028223,-0.001878
1.166667,0.126137,-0.000728,-0.014566,0.123759,0.000000,-0.018496,5.367761,-0.165272,-0.048374,2.366050,3.001711,0.027936,-0.001845
1.200000,0.130283,-0.000790,-0.015183,0.125064,0.000000,-0.018487,5.435369,-0.161018,-0.048860,2.408034,3.027335,0.027651,-0.001812
1.233333,0.134474,-0.000855,-0.015799,0.126400,0.000000,-0.018458,5.503909,-0.156798,-0.049302,2.450419,3.053490,0.027366,-0.001779
1.266667,0.138709,-0.000923,-0.016414,0.127767,0.000000,-0.018408,5.573370,-0.152620,-0.049702,2.493184,3.080185,0.027082,-0.001746
1.300000,0.142991,-0.000995,-0.017026,0.129163,0.000000,-0.018341,5.643741,-0.148490,-0.050060,2.536312,3.107429,0.026799,-0.001713
1.333333,0.147319,-0.001070,-0.017636,0.130590,0.000000,-0.018256,5.715011,-0.144415,-0.050378,2.579785,3.135226,0.026517,-0.001680
1.366667,0.151696,-0.001148,-0.018243,0.132046,0.000000,-0.018154,5.787169,-0.140399,-0.050656,2.623587,3.163582,0.026236,-0.001648
1.400000,0.156121,-0.001230,-0.018847,0.133531,0.000000,-0.018038,5.860204,-0.136446,-0.050896,2.667706,3.192498,0.025956,-0.001615
1.433333,0.160597,-0.001316,-0.019446,0.135045,0.000000,-0.017907,5.934106,-0.132561,-0.051099,2.712128,3.221977,0.025677,-0.001583
1.466667,0.165123,-0.001405,-0.020040,0.136588,0.000000,-0.017762,6.008862,-0.128746,-0.051266,2.756843,3.252019,0.025399,-0.001551
1.500000,0.169701,-0.001499,-0.020630,0.138159,0.000000,-0.017606,6.084464,-0.125004,-0.051397,2.801840,3.282624,0.025121,-0.001518
1.533333,0.174332,-0.001595,-0.021214,0.139758,-0.000000,-0.017437,6.160899,-0.121336,-0.051495,2.847111,3.313788,0.024845,-0.001486
1.566667,0.179016,-0.001696,-0.021792,0.141385,0.000000,-0.017258,6.238157,-0.117745,-0.051560,2.892647,3.345511,0.024569,-0.001454
1.600000,0.183756,-0.001801,-0.022365,0.143039,0.000000,-0.017070,6.316228,-0.114230,-0.051593,2.938441,3.377787,0.024294,-0.001422
1.633333,0.188550,-0.001909,-0.022930,0.144720,0.000000,-0.016872,6.395100,-0.110793,-0.051595,2.984487,3.410614,0.024021,-0.001391
1.666667,0.193401,-0.002022,-0.023489,0.146428,0.000000,-0.016667,6.474764,-0.107434,-0.051567,3.030779,3.443985,0.023748,-0.001359
1.700000,0.198310,-0.002139,-0.024041,0.148162,0.000000,-0.016454,6.555208,-0.104152,-0.051511,3.077311,3.477897,0.023476,-0.001327
1.733333,0.203276,-0.002260,-0.024586,0.149923,0.000000,-0.016234,6.636422,-0.100948,-0.051426,3.124081,3.512341,0.023205,-0.001296
1.766667,0.208302,-0.002384,-0.025124,0.151709,0.000000,-0.016008,6.718395,-0.097820,-0.051315,3.171082,3.547313,0.022935,-0.001264
1.800000,0.213387,-0.002514,-0.025654,0.153521,0.000000,-0.015777,6.801118,-0.094768,-0.051178,3.218313,3.582805,0.022666,-0.001233
1.833333,0.218533,-0.002647,-0.026176,0.155358,0.000000,-0.015542,6.884578,-0.091791,-0.051016,3.265768,3.618810,0.022397,-0.001202
1.866667,0.223741,-0.002785,-0.026690,0.157220,0.000000,-0.015302,6.968767,-0.088887,-0.050830,3.313447,3.655321,0.022130,-0.001171
1.900000,0.229011,-0.002927,-0.027196,0.159107,0.000000,-0.015058,7.053674,-0.086056,-0.050621,3.361345,3.692329,0.021864,-0.001140
1.933333,0.234345,-0.003073,-0.027694,0.161018,0.000000,-0.014811,7.139288,-0.083295,-0.050390,3.409461,3.729828,0.021598,-0.001109
1.966667,0.239742,-0.003224,-0.028183,0.162953,0.000000,-0.014562,7.225600,-0.080604,-0.050137,3.457791,3.767808,0.021334,-0.001078
2.000000,0.245204,-0.003379,-0.028664,0.164912,-0.000000,-0.014311,7.312598,-0.077981,-0.049863,3.506335,3.806263,0.021070,-0.001047
2.033333,0.250732,-0.003539,-0.029137,0.166895,-0.000000,-0.014057,7.400273,-0.075424,-0.049570,3.555090,3.845183,0.020807,-0.001017
2.066667,0.256326,-0.003703,-0.029601,0.168901,0.000000,-0.013803,7.488614,-0.072931,-0.049257,3.604054,3.884560,0.020545,-0.000986
2.100000,0.261987,-0.003872,-0.030057,0.170929,0.000000,-0.013547,7.577612,-0.070502,-0.048926,3.653226,3.924386,0.020284,-0.000956
2.133333,0.267716,-0.004046,-0.030505,0.172980,0.000000,-0.013291,7.667256,-0.068133,-0.048577,3.702603,3.964653,0.020024,-0.000926
2.166667,0.273514,-0.004224,-0.030943,0.175054,0.000000,-0.013035,7.757536,-0.065824,-0.048211,3.752184,4.005352,0.019765,-0.000896
2.200000,0.279381,-0.004407,-0.031374,0.177149,0.000000,-0.012779,7.848443,-0.063572,-0.047828,3.801968,4.046475,0.019507,-0.000865
2.233333,0.285319,-0.004595,-0.031795,0.179266,0.000000,-0.012523,7.939966,-0.061376,-0.047430,3.851952,4.088013,0.019250,-0.000835
2.266667,0.291327,-0.004787,-0.032208,0.181405,0.000000,-0.012267,8.032095,-0.059234,-0.047017,3.902135,4.129959,0.018993,-0.000806
2.300000,0.297406,-0.004984,-0.032613,0.183565,0.000000,-0.012013,8.124820,-0.057145,-0.046589,3.952516,4.172304,0.018738,-0.000776
2.333333,0.303558,-0.005186,-0.033009,0.185745,0.000000,-0.011759,8.218132,-0.055107,-0.046147,4.003092,4.215040,0.018483,-0.000746
2.366667,0.309783,-0.005393,-0.033397,0.187946,0.000000,-0.011507,8.312021,-0.053118,-0.045691,4.053861,4.258160,0.018230,-0.000717
2.400000,0.316081,-0.005604,-0.033776,0.190168,0.000000,-0.011256,8.406476,-0.051176,-0.045223,4.104822,4.301654,0.017977,-0.000687
2.433333,0.322454,-0.005821,-0.034147,0.192409,0.000000,-0.011006,8.501489,-0.049281,-0.044742,4.155974,4.345515,0.017725,-0.000658
2.466667,0.328901,-0.006042,-0.034510,0.194671,0.000000,-0.010759,8.597049,-0.047430,-0.044249,4.207313,4.389736,0.017474,-0.000628
2.500000,0.335424,-0.006269,-0.034865,0.196951,0.000000,-0.010513,8.693147,-0.045622,-0.043745,4.258838,4.434308,0.017224,-0.000599
2.533333,0.342023,-0.006500,-0.035211,0.199251,0.000000,-0.010269,8.789773,-0.043856,-0.043230,4.310548,4.479225,0.016975,-0.000570
2.566667,0.348699,-0.006736,-0.035549,0.201570,0.000000,-0.010028,8.886917,-0.042130,-0.042704,4.362439,4.524478,0.016727,-0.000541
2.600000,0.355453,-0.006978,-0.035880,0.203907,0.000000,-0.009788,8.984571,-0.040443,-0.042168,4.414510,4.570061,0.016480,-0.000512
2.633333,0.362285,-0.007224,-0.036202,0.206263,0.000000,-0.009551,9.082724,-0.038794,-0.041622,4.466759,4.615965,0.016234,-0.000483
2.666667,0.369195,-0.007475,-0.036516,0.208637,0.000000,-0.009317,9.181367,-0.037180,-0.041067,4.519182,4.662184,0.015988,-0.000455
2.700000,0.376185,-0.007732,-0.036823,0.211029,-0.000000,-0.009084,9.280490,-0.035602,-0.040502,4.571779,4.708711,0.015744,-0.000426
2.733333,0.383254,-0.007993,-0.037122,0.213438,-0.000000,-0.008855,9.380084,-0.034058,-0.039929,4.624546,4.755538,0.015500,-0.000398
2.766667,0.390404,-0.008260,-0.037413,0.215864,0.000000,-0.008628,9.480141,-0.032546,-0.039347,4.677481,4.802659,0.015258,-0.000369
2.800000,0.397635,-0.008532,-0.037697,0.218307,0.000000,-0.008403,9.580649,-0.031066,-0.038757,4.730582,4.850068,0.015016,-0.000341
2.833333,0.404948,-0.008808,-0.037973,0.220767,-0.000000,-0.008181,9.681601,-0.029617,-0.038160,4.783845,4.897756,0.014775,-0.000313
2.866667,0.412343,-0.009090,-0.038243,0.223244,0.000000,-0.007962,9.782987,-0.028197,-0.037554,4.837269,4.945718,0.014535,-0.000285
2.900000,0.419820,-0.009377,-0.038504,0.225736,0.000000,-0.007746,9.884797,-0.026805,-0.036942,4.890850,4.993947,0.014296,-0.000257
2.933333,0.427381,-0.009670,-0.038759,0.228245,0.000000,-0.007532,9.987023,-0.025441,-0.036322,4.944587,5.042436,0.014058,-0.000229
2.966667,0.435025,-0.009967,-0.039006,0.230769,0.000000,-0.007322,10.089655,-0.024103,-0.035696,4.998475,5.091180,0.013821,-0.000201
3.000000,0.442754,-0.010270,-0.039247,0.233309,0.000000,-0.007114,10.192684,-0.022792,-0.035063,5.052512,5.140172,0.013585,-0.000173
3.033333,0.450567,-0.010577,-0.039481,0.235863,0.000000,-0.006908,10.296102,-0.021505,-0.034424,5.106696,5.189406,0.013349,-0.000146
3.066667,0.458466,-0.010890,-0.039708,0.238433,0.000000,-0.006706,10.399898,-0.020242,-0.033778,5.161023,5.238875,0.013115,-0.000118
3.100000,0.466451,-0.011208,-0.039928,0.241017,0.000000,-0.006506,10.504065,-0.019002,-0.033127,5.215491,5.288574,0.012882,-0.000091
3.133333,0.474521,-0.011532,-0.040141,0.243615,-0.000000,-0.006309,10.608593,-0.017784,-0.032470,5.270096,5.338497,0.012649,-0.000064
3.166667,0.482679,-0.011860,-0.040348,0.246228,0.000000,-0.006114,10.713474,-0.016589,-0.031807,5.324835,5.388638,0.012417,-0.000037
3.200000,0.490923,-0.012194,-0.040549,0.248854,0.000000,-0.005923,10.818697,-0.015414,-0.031139,5.379706,5.438991,0.012187,-0.000009
3.233333,0.499255,-0.012533,-0.040743,0.251494,0.000000,-0.005734,10.924256,-0.014260,-0.030466,5.434705,5.489550,0.011957,0.000018
3.266667,0.507676,-0.012877,-0.040931,0.254147,0.000000,-0.005548,11.030140,-0.013125,-0.029787,5.489830,5.540310,0.011728,0.000044
3.300000,0.516184,-0.013226,-0.041113,0.256813,0.000000,-0.005364,11.136341,-0.012009,-0.029104,5.545076,5.591265,0.011500,0.000071
3.333333,0.524782,-0.013580,-0.041289,0.259492,-0.000000,-0.005183,11.242851,-0.010912,-0.028416,5.600441,5.642410,0.011273,0.000098
3.366667,0.533469,-0.013940,-0.041459,0.262183,0.000000,-0.005005,11.349660,-0.009832,-0.027723,5.655921,5.693739,0.011047,0.000124
3.400000,0.542246,-0.014305,-0.041622,0.264887,0.000000,-0.004829,11.456760,-0.008770,-0.027025,5.711514,5.745246,0.010821,0.000151
3.433333,0.551113,-0.014675,-0.041781,0.267602,0.000000,-0.004656,11.564143,-0.007725,-0.026323,5.767216,5.796926,0.010597,0.000177
3.466667,0.560071,-0.015050,-0.041933,0.270330,0.000000,-0.004486,11.671799,-0.006695,-0.025617,5.823024,5.848775,0.010374,0.000204
3.500000,0.569120,-0.015430,-0.042080,0.273069,-0.000000,-0.004317,11.779721,-0.005681,-0.024906,5.878935,5.900786,0.010151,0.000230
3.533333,0.578260,-0.015816,-0.042221,0.275819,0.000000,-0.004152,11.887900,-0.004683,-0.024191,5.934944,5.952955,0.009929,0.000256
3.566667,0.587491,-0.016206,-0.042356,0.278580,0.000000,-0.003988,11.996327,-0.003699,-0.023473,5.991050,6.005277,0.009709,0.000282
3.600000,0.596815,-0.016602,-0.042487,0.281352,-0.000000,-0.003827,12.104994,-0.002729,-0.022750,6.047248,6.057746,0.009489,0.000308
3.633333,0.606231,-0.017003,-0.042612,0.284134,0.000000,-0.003669,12.213892,-0.001774,-0.022023,6.103535,6.110357,0.009270,0.000333
3.666667,0.615740,-0.017409,-0.042731,0.286927,0.000000,-0.003513,12.323014,-0.000831,-0.021292,6.159908,6.163105,0.009052,0.000359
3.700000,0.625342,-0.017820,-0.042846,0.289730,-0.000000,-0.003359,12.432350,0.000098,-0.020558,6.216364,6.215986,0.008835,0.000385
3.733333,0.635038,-0.018236,-0.042955,0.292543,-0.000000,-0.003207,12.541894,0.001015,-0.019819,6.272899,6.268995,0.008619,0.000410
3.766667,0.644827,-0.018658,-0.043060,0.295365,0.000000,-0.003057,12.651636,0.001920,-0.019077,6.329510,6.322126,0.008404,0.000436
3.800000,0.654711,-0.019084,-0.043159,0.298196,-0.000000,-0.002910,12.761568,0.002813,-0.018332,6.386193,6.375375,0.008190,0.000461
3.833333,0.664689,-0.019515,-0.043254,0.301037,0.000000,-0.002765,12.871682,0.003694,-0.017582,6.442945,6.428737,0.007976,0.000486
3.866667,0.674761,-0.019952,-0.043343,0.303886,0.000000,-0.002622,12.981970,0.004564,-0.016830,6.499762,6.482208,0.007764,0.000511
3.900000,0.684929,-0.020393,-0.043428,0.306744,0.000000,-0.002480,13.092424,0.005424,-0.016073,6.556642,6.535782,0.007552,0.000536
3.933333,0.695192,-0.020840,-0.043509,0.309610,-0.000000,-0.002341,13.203036,0.006273,-0.015314,6.613581,6.589455,0.007342,0.000561
3.966667,0.705550,-0.021291,-0.043584,0.312485,0.000000,-0.002204,13.313798,0.007112,-0.014550,6.670575,6.643223,0.007132,0.000586
4.000000,0.716004,-0.021747,-0.043656,0.315367,-0.000000,-0.002069,13.424702,0.007941,-0.013784,6.727621,6.697081,0.006923,0.000610
4.033333,0.726555,-0.022208,-0.043722,0.318257,0.000000,-0.001936,13.535740,0.008760,-0.013014,6.784716,6.751024,0.006715,0.000635
4.066667,0.737201,-0.022675,-0.043785,0.321155,0.000000,-0.001804,13.646904,0.009570,-0.012240,6.841856,6.805048,0.006508,0.000659
4.100000,0.747944,-0.023146,-0.043843,0.324059,0.000000,-0.001675,13.758187,0.010371,-0.011463,6.899038,6.859149,0.006302,0.000684
4.133333,0.758784,-0.023621,-0.043896,0.326971,0.000000,-0.001547,13.869580,0.011164,-0.010683,6.956258,6.913321,0.006097,0.000708
4.166667,0.769722,-0.024102,-0.043946,0.329889,-0.000000,-0.001421,13.981075,0.011948,-0.009899,7.013514,6.967561,0.005893,0.000732
4.200000,0.780756,-0.024588,-0.043991,0.332814,0.000000,-0.001296,14.092666,0.012723,-0.009113,7.070801,7.021865,0.005690,0.000756
4.233333,0.791888,-0.025078,-0.044032,0.335745,-0.000000,-0.001174,14.204344,0.013491,-0.008322,7.128116,7.076227,0.005487,0.000780
4.266667,0.803117,-0.025573,-0.044069,0.338682,0.000000,-0.001052,14.316102,0.014251,-0.007529,7.185457,7.130645,0.005286,0.000804
4.300000,0.814445,-0.026073,-0.044102,0.341625,-0.000000,-0.000933,14.427931,0.015004,-0.006732,7.242819,7.185112,0.005085,0.000828
4.333333,0.825870,-0.026577,-0.044131,0.344574,0.000000,-0.000815,14.539826,0.015749,-0.005932,7.300199,7.239626,0.004886,0.000852
4.366667,0.837394,-0.027086,-0.044157,0.347528,-0.000000,-0.000699,14.651777,0.016487,-0.005129,7.357594,7.294182,0.004687,0.000875
4.400000,0.849016,-0.027600,-0.044178,0.350487,0.000000,-0.000584,14.763777,0.017218,-0.004322,7.415001,7.348776,0.004489,0.000899
4.433333,0.860737,-0.028118,-0.044196,0.353451,0.000000,-0.000471,14.875820,0.017943,-0.003512,7.472416,7.403404,0.004292,0.000922
4.466667,0.872557,-0.028641,-0.044209,0.356420,0.000000,-0.000359,14.987897,0.018661,-0.002698,7.529836,7.458061,0.004096,0.000945
4.500000,0.884475,-0.029168,-0.044219,0.359393,-0.000000,-0.000248,15.100001,0.019373,-0.001882,7.587257,7.512744,0.003901,0.000968
4.533333,0.896493,-0.029700,-0.044226,0.362371,0.000000,-0.000139,15.212125,0.020079,-0.001062,7.644676,7.567449,0.003707,0.000992
4.566667,0.908610,-0.030236,-0.044229,0.365352,0.000000,-0.000031,15.324262,0.020779,-0.000238,7.702091,7.622171,0.003514,0.001014
4.600000,0.920826,-0.030777,-0.044228,0.368338,0.000000,0.000075,15.436403,0.021474,0.000589,7.759497,7.676906,0.003321,0.001037
4.633333,0.933141,-0.031322,-0.044224,0.371327,0.000000,0.000181,15.548543,0.022163,0.001419,7.816892,7.731651,0.003130,0.001060
4.666667,0.945557,-0.031871,-0.044216,0.374319,-0.000000,0.000285,15.660674,0.022846,0.002253,7.874272,7.786402,0.002940,0.001083
4.700000,0.958072,-0.032425,-0.044205,0.377315,0.000000,0.000387,15.772788,0.023524,0.003090,7.931633,7.841155,0.002750,0.001105
4.733333,0.970687,-0.032983,-0.044190,0.380314,0.000000,0.000489,15.884879,0.024198,0.003930,7.988973,7.895905,0.002561,0.001128
4.766667,0.983401,-0.033545,-0.044172,0.383315,-0.000000,0.000589,15.996939,0.024866,0.004774,8.046289,7.950650,0.002374,0.001150
4.800000,0.996216,-0.034111,-0.044151,0.386320,-0.000000,0.000689,16.108961,0.025530,0.005621,8.103577,8.005385,0.002187,0.001172
4.833333,1.009131,-0.034682,-0.044126,0.389326,0.000000,0.000787,16.220939,0.026189,0.006472,8.160833,8.060106,0.002001,0.001195
4.866667,1.022146,-0.035256,-0.044098,0.392335,0.000000,0.000884,16.332866,0.026844,0.007327,8.218056,8.114810,0.001816,0.001217
4.900000,1.035261,-0.035835,-0.044067,0.395345,0.000000,0.000980,16.444734,0.027495,0.008185,8.275241,8.169493,0.001632,0.001239
4.933333,1.048477,-0.036417,-0.044033,0.398358,0.000000,0.001075,16.556536,0.028141,0.009046,8.332385,8.224151,0.001449,0.001261
4.966667,1.061793,-0.037004,-0.043996,0.401372,-0.000000,0.001169,16.668266,0.028783,0.009912,8.389486,8.278780,0.001266,0.001282
5.000000,1.075209,-0.037594,-0.043955,0.404387,0.000000,0.001262,16.779917,0.029422,0.010780,8.446540,8.333378,0.001085,0.001304
5.033333,1.088726,-0.038188,-0.043912,0.407403,0.000000,0.001354,16.891483,0.030057,0.011653,8.503543,8.387939,0.000905,0.001326
5.066667,1.102343,-0.038786,-0.043865,0.410421,0.000000,0.001445,17.002955,0.030689,0.012529,8.560494,8.442461,0.000725,0.001347
5.100000,1.116061,-0.039388,-0.043815,0.413439,0.000000,0.001535,17.114329,0.031316,0.013409,8.617388,8.496940,0.000546,0.001368
5.133333,1.129879,-0.039993,-0.043763,0.416457,0.000000,0.001624,17.225596,0.031941,0.014293,8.674223,8.551373,0.000369,0.001390
5.166667,1.143798,-0.040603,-0.043707,0.419476,0.000000,0.001713,17.336751,0.032563,0.015180,8.730996,8.605755,0.000192,0.001411
5.200000,1.157817,-0.041215,-0.043648,0.422495,0.000000,0.001800,17.447786,0.033181,0.016071,8.787703,8.660084,0.000016,0.001432
5.233333,1.171937,-0.041832,-0.043587,0.425514,0.000000,0.001887,17.558696,0.033796,0.016966,8.844341,8.714355,-0.000159,0.001453
5.266667,1.186158,-0.042451,-0.043523,0.428533,0.000000,0.001973,17.669474,0.034409,0.017865,8.900908,8.768566,-0.000333,0.001474
5.300000,1.200479,-0.043075,-0.043455,0.431552,0.000000,0.002058,17.780113,0.035019,0.018768,8.957400,8.822713,-0.000506,0.001494
5.333333,1.214901,-0.043701,-0.043385,0.434569,0.000000,0.002143,17.890607,0.035626,0.019675,9.013815,8.876792,-0.000678,0.001515
5.366667,1.229423,-0.044331,-0.043313,0.437586,0.000000,0.002226,18.000949,0.036231,0.020585,9.070149,8.930800,-0.000849,0.001536
5.400000,1.244046,-0.044964,-0.043237,0.440602,0.000000,0.002309,18.111134,0.036833,0.021500,9.126400,8.984734,-0.001020,0.001556
5.433333,1.258769,-0.045601,-0.043159,0.443617,-0.000000,0.002392,18.221154,0.037433,0.022419,9.182564,9.038590,-0.001189,0.001577
5.466667,1.273593,-0.046240,-0.043077,0.446630,0.000000,0.002473,18.331003,0.038031,0.023342,9.238638,9.092365,-0.001358,0.001597
5.500000,1.288517,-0.046883,-0.042994,0.449642,0.000000,0.002554,18.440676,0.038627,0.024269,9.294620,9.146056,-0.001525,0.001617
5.533333,1.303541,-0.047529,-0.042907,0.452652,0.000000,0.002635,18.550166,0.039220,0.025200,9.350507,9.199659,-0.001692,0.001637
5.566667,1.318666,-0.048177,-0.042818,0.455660,0.000000,0.002715,18.659467,0.039812,0.026135,9.406295,9.253172,-0.001858,0.001657
5.600000,1.333891,-0.048829,-0.042726,0.458666,0.000000,0.002794,18.768573,0.040402,0.027075,9.461983,9.306590,-0.002023,0.001677
5.633333,1.349216,-0.049483,-0.042632,0.461669,0.000000,0.002872,18.877477,0.040991,0.028019,9.517567,9.359910,-0.002187,0.001697
5.666667,1.364641,-0.050141,-0.042535,0.464670,0.000000,0.002950,18.986174,0.041577,0.028967,9.573043,9.413131,-0.002350,0.001716
5.700000,1.380166,-0.050801,-0.042435,0.467669,0.000000,0.003028,19.094657,0.042163,0.029919,9.628410,9.466247,-0.002512,0.001736
5.733333,1.395791,-0.051463,-0.042333,0.470664,0.000000,0.003105,19.202921,0.042746,0.030876,9.683665,9.519256,-0.002673,0.001755
5.766667,1.411515,-0.052128,-0.042228,0.473657,0.000000,0.003181,19.310960,0.043329,0.031837,9.738804,9.572155,-0.002833,0.001775
5.800000,1.427340,-0.052796,-0.042121,0.476646,0.000000,0.003257,19.418767,0.043910,0.032803,9.793826,9.624942,-0.002993,0.001794
5.833333,1.443263,-0.053466,-0.042011,0.479632,0.000000,0.003333,19.526338,0.044490,0.033773,9.848726,9.677611,-0.003151,0.001813
5.866667,1.459287,-0.054139,-0.041899,0.482614,0.000000,0.003408,19.633665,0.045069,0.034748,9.903503,9.730162,-0.003309,0.001832
5.900000,1.475409,-0.054814,-0.041784,0.485592,0.000000,0.003482,19.740744,0.045647,0.035727,9.958154,9.782590,-0.003465,0.001851
5.933333,1.491631,-0.055491,-0.041666,0.488567,0.000000,0.003556,19.847568,0.046224,0.036711,10.012676,9.834892,-0.003621,0.001870
5.966667,1.507952,-0.056171,-0.041547,0.491537,0.000000,0.003630,19.954132,0.046800,0.037699,10.067066,9.887066,-0.003776,0.001889
6.000000,1.524372,-0.056852,-0.041424,0.494504,0.000000,0.003703,20.060430,0.047375,0.038693,10.121321,9.939109,-0.003930,0.001907
6.033333,1.540891,-0.057536,-0.041300,0.497465,0.000000,0.003776,20.166457,0.047950,0.039691,10.175440,9.991017,-0.004083,0.001926
6.066667,1.557508,-0.058222,-0.041173,0.500423,0.000000,0.003849,20.272206,0.048524,0.040694,10.229419,10.042788,-0.004235,0.001944
6.100000,1.574224,-0.058909,-0.041043,0.503375,0.000000,0.003921,20.377673,0.049098,0.041701,10.283255,10.094418,-0.004386,0.001963
6.133333,1.591038,-0.059599,-0.040911,0.506322,0.000000,0.003993,20.482852,0.049671,0.042714,10.336947,10.145905,-0.004536,0.001981
6.166667,1.607950,-0.060290,-0.040777,0.509265,0.000000,0.004064,20.587737,0.050244,0.043731,10.390491,10.197246,-0.004685,0.001999
